#Umrli po mesecih, Slovenija, od 1977 naprej, letno - vir SURS
Leto	1	2	3	4	5	6	7	8	9	10	11	12
1977	1614	1397	1686	1571	1480	1452	1319	1370	1339	1440	1395	1570
1978	1650	1670	1619	1536	1537	1374	1413	1348	1338	1530	1616	1726
1979	1689	1521	1662	1445	1583	1392	1419	1413	1316	1562	1548	1598
1980	1716	1412	1605	1601	1640	1453	1561	1446	1399	1556	1640	1791
1981	2004	1642	1656	1469	1518	1381	1418	1361	1395	1491	1582	1816
1982	1791	1587	1760	1662	1637	1492	1516	1517	1523	1574	1595	1992
1983	1913	2053	1960	1698	1597	1556	1738	1489	1457	1627	1796	1819
1984	1884	1747	2014	1741	1678	1644	1571	1542	1443	1617	1600	1733
1985	1986	1621	1907	1643	1710	1516	1558	1513	1400	1536	1738	1726
1986	1683	1843	1950	1623	1544	1441	1469	1437	1424	1655	1582	1848
1987	2071	1598	1704	1643	1663	1594	1615	1477	1502	1614	1619	1737
1988	1704	1511	1853	1618	1593	1468	1478	1509	1400	1557	1643	1792
1989	1900	1683	1568	1477	1528	1463	1450	1400	1345	1635	1547	1673
1990	1840	1603	1731	1423	1538	1499	1376	1339	1420	1581	1488	1717
1991	1705	1569	1665	1562	1611	1559	1655	1529	1442	1594	1613	1820
1992	1935	1711	1697	1587	1536	1448	1523	1603	1448	1607	1595	1643
1993	1873	1819	2032	1648	1688	1418	1513	1512	1460	1607	1594	1848
1994	2218	1676	1595	1479	1491	1494	1550	1575	1403	1619	1566	1693
1995	1666	1534	1663	1597	1589	1438	1534	1455	1457	1530	1563	1942
1996	1702	1614	1704	1624	1552	1525	1500	1433	1439	1507	1435	1585
1997	1729	1768	1707	1678	1486	1484	1409	1391	1499	1609	1589	1579
1998	1638	1631	1849	1621	1492	1473	1586	1441	1462	1583	1518	1745
1999	1775	2039	1746	1474	1497	1382	1458	1373	1443	1496	1584	1618
2000	2000	1848	1590	1466	1466	1367	1330	1477	1353	1547	1538	1606
2001	1657	1501	1576	1559	1588	1442	1513	1515	1456	1480	1540	1681
2002	1764	1420	1574	1542	1544	1596	1468	1465	1542	1661	1504	1621
2003	1768	1595	1893	1709	1547	1467	1533	1596	1517	1602	1500	1724
2004	1916	1638	1616	1448	1498	1449	1485	1406	1388	1579	1477	1623
2005	1723	1983	1778	1433	1462	1445	1455	1414	1474	1519	1514	1625
2006	1625	1450	1648	1532	1489	1570	1518	1423	1361	1544	1488	1532
2007	1673	1601	1656	1483	1507	1474	1530	1385	1459	1575	1563	1678
2008	1769	1478	1564	1480	1497	1488	1445	1485	1465	1543	1452	1642
2009	1937	1578	1693	1536	1456	1453	1454	1448	1415	1591	1587	1602
2010	1548	1565	1604	1587	1538	1503	1545	1408	1538	1594	1507	1672
2011	1784	1574	1682	1529	1506	1413	1458	1535	1438	1579	1537	1664
2012	1716	1802	1984	1589	1511	1427	1529	1467	1410	1602	1567	1653
2013	1872	1750	1832	1678	1464	1568	1520	1473	1473	1558	1467	1679
2014	1673	1643	1773	1540	1475	1458	1546	1446	1467	1654	1525	1686
2015	1922	1767	1911	1770	1504	1440	1662	1523	1384	1683	1608	1660
2016	1943	1750	1825	1596	1580	1459	1517	1505	1501	1690	1573	1750
2017	2425	1989	1790	1583	1596	1464	1526	1556	1503	1657	1657	1763
2018	1836	1865	2047	1710	1576	1480	1542	1639	1584	1712	1632	1862
